Date,Barangay,Disease,Cases
2024-09-24,Lopez Jaena,Cough and watery eyes,1
2024-09-24,Lopez Jaena,Unknown,1
2026-01-24,Lopez Jaena,Cough,1
2025-04-15,Lopez Jaena,"Ubo (tig-a), sip-on, hilanat",1
